ParticipantID,ScenarioMode,Date & Time
11,Baseline,11-04-2025

Current Time,CurrentPower,CurrentCadence,CurrentSpeed,CurrentHeartRate
11-04-2025 14:46:25,93,76,13.4,125
11-04-2025 14:46:26,93,76,13.4,125
11-04-2025 14:46:27,184,75,17.9,126
11-04-2025 14:46:28,212,80,19,127
11-04-2025 14:46:29,166,83,17.2,128
11-04-2025 14:46:30,166,83,17.2,129
11-04-2025 14:46:31,114,87,14.8,130
11-04-2025 14:46:32,52,85.5,10.3,131
11-04-2025 14:46:33,64,80.5,11.4,132
11-04-2025 14:46:34,64,80.5,11.4,133
11-04-2025 14:46:35,147,75.5,16.3,134
11-04-2025 14:46:36,157,74.5,16.8,135
11-04-2025 14:46:37,192,77,18.3,136
11-04-2025 14:46:38,195,83,18.3,136
11-04-2025 14:46:39,131,85.5,15.7,137
11-04-2025 14:46:40,131,85.5,15.7,138
11-04-2025 14:46:41,62,85,11.2,139
11-04-2025 14:46:42,140,84,16.1,140
11-04-2025 14:46:43,152,84.5,16.6,140
11-04-2025 14:46:44,131,84.5,15.7,141
11-04-2025 14:46:45,144,85,16.3,142
11-04-2025 14:46:46,144,85,16.3,142
11-04-2025 14:46:47,102,86,14.1,143
11-04-2025 14:46:48,109,84.5,14.5,143
11-04-2025 14:46:49,109,84.5,14.5,144
11-04-2025 14:46:50,137,83,15.9,145
11-04-2025 14:46:51,151,82.5,16.6,146
11-04-2025 14:46:52,122,82.5,15.2,146
11-04-2025 14:46:53,122,82.5,15.2,147
11-04-2025 14:46:54,122,81.5,15.2,147
11-04-2025 14:46:55,100,80.5,13.9,147
11-04-2025 14:46:56,72,78.5,12.1,147
11-04-2025 14:46:57,134,74.5,15.9,146
11-04-2025 14:46:58,134,74.5,15.9,145
11-04-2025 14:46:59,163,75,17,145
11-04-2025 14:47:00,163,75,17,144
11-04-2025 14:47:01,179,78,17.7,143
11-04-2025 14:47:02,158,83.5,17,143
11-04-2025 14:47:03,113,84,14.8,142
11-04-2025 14:47:04,113,84,14.8,142
11-04-2025 14:47:05,88,83.5,13.2,142
11-04-2025 14:47:06,100,81,13.9,143
11-04-2025 14:47:07,133,79.5,15.7,143
