ParticipantID,ScenarioMode,Date & Time
1,Cooperative,08-04-2025

Current Time,CurrentPower,CurrentCadence,CurrentSpeed,CurrentHeartRate
08-04-2025 15:12:26,55,102,10.5,103
08-04-2025 15:12:27,55,102,10.5,105
08-04-2025 15:12:28,35,101,8.3,105
08-04-2025 15:12:29,23,100,6.5,107
08-04-2025 15:12:30,6,86.5,2.2,107
08-04-2025 15:12:31,178,97.5,17.7,108
08-04-2025 15:12:32,178,97.5,17.7,108
08-04-2025 15:12:33,85,101.5,13,108
08-04-2025 15:12:34,36,99,8.5,109
08-04-2025 15:12:36,36,99,8.5,110
08-04-2025 15:12:37,69,99,11.9,110
08-04-2025 15:12:38,99,96.5,13.9,111
08-04-2025 15:12:39,99,96.5,13.9,111
08-04-2025 15:12:40,90,94,13.2,111
08-04-2025 15:12:41,117,91.5,15,111
08-04-2025 15:12:42,117,91.5,15,112
08-04-2025 15:12:43,112,94,14.5,112
08-04-2025 15:12:44,105,94,14.3,113
08-04-2025 15:12:45,107,95,14.3,115
08-04-2025 15:12:46,107,95,14.3,116
08-04-2025 15:12:47,94,96,13.6,116
08-04-2025 15:12:48,101,96,14.1,116
08-04-2025 15:12:49,101,96,14.1,117
08-04-2025 15:12:50,128,95.5,15.4,119
08-04-2025 15:12:51,107,96.5,14.3,119
08-04-2025 15:12:52,107,96.5,14.3,121
08-04-2025 15:12:53,98,97,13.9,122
08-04-2025 15:12:54,100,97,13.9,122
08-04-2025 15:12:55,100,97,13.9,123
08-04-2025 15:12:56,81,97,12.8,123
08-04-2025 15:12:57,76,96,12.3,124
08-04-2025 15:12:58,76,96,12.3,124
08-04-2025 15:12:59,97,94.5,13.6,124
08-04-2025 15:13:00,133,94,15.7,124
08-04-2025 15:13:01,133,94,15.7,125
08-04-2025 15:13:02,122,95,15.2,126
08-04-2025 15:13:03,105,96,14.3,126
08-04-2025 15:13:04,126,97.5,15.4,127
08-04-2025 15:13:05,126,97.5,15.4,127
08-04-2025 15:13:06,86,99,13,127
08-04-2025 15:13:07,86,100,13,129
08-04-2025 15:13:08,93,99.5,13.4,130
08-04-2025 15:13:09,96,100,13.6,131
08-04-2025 15:13:10,96,100,13.6,132
08-04-2025 15:13:11,89,101,13.2,133
08-04-2025 15:13:12,96,100.5,13.6,134
08-04-2025 15:13:13,96,100.5,13.6,135
08-04-2025 15:13:14,102,100,14.1,135
08-04-2025 15:13:15,84,99,13,137
08-04-2025 15:13:16,104,98,14.1,136
08-04-2025 15:13:17,104,98,14.1,137
08-04-2025 15:13:18,122,97,15.2,137
08-04-2025 15:13:19,138,97,15.9,138
08-04-2025 15:13:20,155,97.5,16.8,139
08-04-2025 15:13:21,105,97,14.3,140
08-04-2025 15:13:22,105,97,14.3,140
08-04-2025 15:13:23,115,97,14.8,141
08-04-2025 15:13:24,125,97,15.4,142
08-04-2025 15:13:25,125,97,15.4,143
08-04-2025 15:13:26,100,97,13.9,143
08-04-2025 15:13:27,108,97.5,14.3,144
08-04-2025 15:13:28,108,97.5,14.3,143
08-04-2025 15:13:29,105,97,14.3,143
08-04-2025 15:13:30,109,97,14.5,143
08-04-2025 15:13:31,109,97,14.5,144
08-04-2025 15:13:32,133,96,15.7,144
08-04-2025 15:13:33,114,97,14.8,146
08-04-2025 15:13:34,114,97,14.8,146
08-04-2025 15:13:35,119,97.5,15,147
08-04-2025 15:13:36,122,97.5,15.2,148
08-04-2025 15:13:37,122,97.5,15.2,148
08-04-2025 15:13:38,77,97.5,12.3,148
08-04-2025 15:13:39,107,96,14.3,148
08-04-2025 15:13:40,107,96,14.3,149
08-04-2025 15:13:41,149,97,16.6,149
08-04-2025 15:13:42,113,97,14.8,150
08-04-2025 15:13:43,113,97,14.8,150
08-04-2025 15:13:44,105,96,14.3,151
08-04-2025 15:13:45,112,95,14.5,151
08-04-2025 15:13:46,112,95,14.5,151
08-04-2025 15:13:47,115,93,14.8,152
08-04-2025 15:13:48,186,94.5,18.1,153
08-04-2025 15:13:49,186,94.5,18.1,154
08-04-2025 15:13:50,94,97,13.6,154
08-04-2025 15:13:51,101,97,14.1,154
08-04-2025 15:13:52,114,96,14.8,154
08-04-2025 15:13:53,121,95.5,15.2,152
08-04-2025 15:13:54,154,97.5,16.8,152
08-04-2025 15:13:55,154,97.5,16.8,151
08-04-2025 15:13:56,105,98.5,14.3,151
08-04-2025 15:13:57,78,97.5,12.5,151
08-04-2025 15:13:58,78,97.5,12.5,151
08-04-2025 15:13:59,150,95.5,16.6,151
