ParticipantID,ScenarioMode,Date & Time
6,Baseline,08-04-2025

Current Time,CurrentPower,CurrentCadence,CurrentSpeed,CurrentHeartRate
08-04-2025 15:59:47,100,71.5,13.9,134
08-04-2025 15:59:48,303,70.5,21.7,135
08-04-2025 15:59:49,202,70.5,18.6,135
08-04-2025 15:59:50,202,70.5,18.6,136
08-04-2025 15:59:51,246,73.5,20.1,138
08-04-2025 15:59:52,151,77.5,16.6,138
08-04-2025 15:59:53,151,77.5,16.6,138
08-04-2025 15:59:54,128,76,15.4,136
08-04-2025 15:59:55,164,75.5,17.2,135
08-04-2025 15:59:56,167,76.5,17.2,134
08-04-2025 15:59:57,134,76,15.9,134
08-04-2025 15:59:58,195,75,18.3,134
08-04-2025 15:59:59,195,75,18.3,135
08-04-2025 16:00:00,172,76.5,17.4,135
08-04-2025 16:00:01,141,76.5,16.1,134
08-04-2025 16:00:02,122,76,15.2,134
08-04-2025 16:00:03,245,76,20.1,133
08-04-2025 16:00:04,197,78,18.6,133
08-04-2025 16:00:05,129,78,15.4,133
08-04-2025 16:00:06,144,76.5,16.3,133
08-04-2025 16:00:07,144,76.5,16.3,136
08-04-2025 16:00:08,202,77,18.6,136
08-04-2025 16:00:09,176,76.5,17.7,134
08-04-2025 16:00:10,176,76.5,17.7,134
08-04-2025 16:00:11,159,77,17,134
08-04-2025 16:00:12,144,76,16.3,134
08-04-2025 16:00:13,264,78,20.6,134
08-04-2025 16:00:14,163,79.5,17,134
08-04-2025 16:00:15,139,78.5,16.1,135
08-04-2025 16:00:16,139,78.5,16.1,136
08-04-2025 16:00:17,133,75.5,15.7,136
08-04-2025 16:00:18,341,80.5,22.8,135
08-04-2025 16:00:19,341,80.5,22.8,134
08-04-2025 16:00:20,111,86.5,14.5,133
08-04-2025 16:00:21,116,87,14.8,134
08-04-2025 16:00:22,70,85,11.9,135
08-04-2025 16:00:23,213,79.5,19,136
08-04-2025 16:00:24,213,79.5,19,137
08-04-2025 16:00:25,219,78.5,19.2,136
08-04-2025 16:00:26,215,78.5,19,135
08-04-2025 16:00:27,212,80.5,19,135
08-04-2025 16:00:28,212,80.5,19,136
08-04-2025 16:00:29,179,83.5,17.7,137
08-04-2025 16:00:30,155,84,16.8,139
08-04-2025 16:00:31,126,83.5,15.4,140
08-04-2025 16:00:32,195,83.5,18.3,142
08-04-2025 16:00:33,195,83.5,18.3,143
08-04-2025 16:00:34,171,84.5,17.4,143
08-04-2025 16:00:35,185,84.5,17.9,143
08-04-2025 16:00:36,175,85,17.7,143
08-04-2025 16:00:37,175,85,17.7,143
08-04-2025 16:00:38,134,83,15.9,143
08-04-2025 16:00:39,162,80,17,144
08-04-2025 16:00:40,223,82.5,19.5,144
08-04-2025 16:00:41,223,82.5,19.5,144
08-04-2025 16:00:42,138,82.5,15.9,144
08-04-2025 16:00:43,156,81.5,16.8,142
08-04-2025 16:00:44,168,81,17.2,141
08-04-2025 16:00:45,159,81,17,139
08-04-2025 16:00:46,159,81,17,136
08-04-2025 16:00:47,186,79.5,18.1,136
08-04-2025 16:00:48,157,79.5,16.8,138
08-04-2025 16:00:49,157,79.5,16.8,140
08-04-2025 16:00:50,196,78.5,18.3,141
08-04-2025 16:00:51,158,79.5,17,141
08-04-2025 16:00:52,158,79.5,17,141
08-04-2025 16:00:53,182,78.5,17.9,141
08-04-2025 16:00:54,168,78,17.2,140
08-04-2025 16:00:55,168,78,17.2,141
08-04-2025 16:00:56,163,78,17,141
08-04-2025 16:00:57,158,77,17,141
08-04-2025 16:00:58,158,77,17,141
08-04-2025 16:00:59,226,79,19.5,143
08-04-2025 16:01:00,141,79.5,16.1,143
08-04-2025 16:01:01,212,80.5,19,142
08-04-2025 16:01:02,212,80.5,19,142
08-04-2025 16:01:03,155,79.5,16.8,141
08-04-2025 16:01:04,193,78.5,18.3,142
08-04-2025 16:01:05,227,79,19.5,142
08-04-2025 16:01:06,191,79.5,18.3,143
08-04-2025 16:01:07,191,79.5,18.3,143
08-04-2025 16:01:08,166,78.5,17.2,142
08-04-2025 16:01:09,218,78.5,19.2,141
08-04-2025 16:01:10,218,78.5,19.2,137
08-04-2025 16:01:11,171,78,17.4,136
08-04-2025 16:01:12,200,76.5,18.6,137
08-04-2025 16:01:13,200,76.5,18.6,139
08-04-2025 16:01:14,225,79.5,19.5,139
08-04-2025 16:01:15,188,81,18.1,140
08-04-2025 16:01:16,188,81,18.1,142
08-04-2025 16:01:17,182,80,17.9,142
08-04-2025 16:01:18,182,77.5,17.9,142
08-04-2025 16:01:19,182,77.5,17.9,141
08-04-2025 16:01:20,242,79,19.9,141
08-04-2025 16:01:21,181,80,17.9,140
08-04-2025 16:01:22,168,79,17.2,141
08-04-2025 16:01:23,168,79,17.2,141
08-04-2025 16:01:24,195,78,18.3,142
08-04-2025 16:01:25,198,81.5,18.6,142
08-04-2025 16:01:26,170,83,17.4,142
08-04-2025 16:01:27,178,83.5,17.7,142
08-04-2025 16:01:28,178,83.5,17.7,143
08-04-2025 16:01:29,141,82.5,16.1,142
08-04-2025 16:01:30,183,79.5,17.9,142
08-04-2025 16:01:31,183,79.5,17.9,143
08-04-2025 16:01:32,204,81,18.8,142
08-04-2025 16:01:33,181,81,17.9,141
08-04-2025 16:01:34,181,81,17.9,141
08-04-2025 16:01:35,183,80,17.9,141
08-04-2025 16:01:36,175,79,17.7,141
08-04-2025 16:01:37,175,79,17.7,141
08-04-2025 16:01:38,202,80,18.6,143
08-04-2025 16:01:39,177,80,17.7,143
08-04-2025 16:01:40,177,80,17.7,144
08-04-2025 16:01:41,179,79.5,17.7,144
08-04-2025 16:01:42,170,77.5,17.4,145
08-04-2025 16:01:43,170,77.5,17.4,145
08-04-2025 16:01:44,244,78.5,20.1,146
08-04-2025 16:01:45,186,79,18.1,146
08-04-2025 16:01:46,182,78.5,17.9,147
08-04-2025 16:01:47,158,77.5,17,147
08-04-2025 16:01:48,158,77.5,17,146
08-04-2025 16:01:49,215,77.5,19,144
08-04-2025 16:01:50,199,77.5,18.6,141
08-04-2025 16:01:51,181,78,17.9,141
08-04-2025 16:01:52,181,78,17.9,142
08-04-2025 16:01:54,168,76,17.2,143
08-04-2025 16:01:55,196,76,18.3,145
08-04-2025 16:01:56,196,76,18.3,146
08-04-2025 16:01:57,204,76.5,18.8,147
08-04-2025 16:01:58,169,76.5,17.4,147
08-04-2025 16:01:59,201,76,18.6,146
08-04-2025 16:02:00,201,76,18.6,146
08-04-2025 16:02:01,195,76.5,18.3,145
08-04-2025 16:02:02,215,77,19,145
08-04-2025 16:02:03,200,78,18.6,145
08-04-2025 16:02:04,168,77.5,17.2,146
08-04-2025 16:02:05,195,77,18.3,146
08-04-2025 16:02:06,195,77,18.3,146
08-04-2025 16:02:07,199,76,18.6,146
08-04-2025 16:02:08,212,76.5,19,147
08-04-2025 16:02:09,234,77,19.7,149
08-04-2025 16:02:10,234,77,19.7,149
08-04-2025 16:02:11,196,77.5,18.3,147
08-04-2025 16:02:12,199,76,18.6,147
08-04-2025 16:02:13,218,77,19.2,147
08-04-2025 16:02:14,213,77,19,147
08-04-2025 16:02:15,213,77,19,149
08-04-2025 16:02:16,214,77.5,19,149
08-04-2025 16:02:17,166,77.5,17.2,149
08-04-2025 16:02:18,166,77.5,17.2,149
08-04-2025 16:02:19,228,76.5,19.5,150
08-04-2025 16:02:20,187,77,18.1,150
08-04-2025 16:02:21,203,77,18.8,150
08-04-2025 16:02:22,203,77,18.8,151
08-04-2025 16:02:23,211,77.5,19,150
08-04-2025 16:02:24,219,77,19.2,150
08-04-2025 16:02:25,220,77.5,19.2,150
08-04-2025 16:02:26,220,77.5,19.2,150
08-04-2025 16:02:27,189,77.5,18.1,152
08-04-2025 16:02:28,197,77,18.6,152
08-04-2025 16:02:29,240,79,19.9,153
08-04-2025 16:02:30,240,79,19.9,154
08-04-2025 16:02:31,172,77.5,17.4,154
08-04-2025 16:02:32,179,76,17.7,153
08-04-2025 16:02:33,234,77,19.7,153
08-04-2025 16:02:34,256,78.5,20.4,152
08-04-2025 16:02:35,193,79.5,18.3,152
08-04-2025 16:02:36,193,79.5,18.3,152
08-04-2025 16:02:37,168,77.5,17.2,152
08-04-2025 16:02:38,268,77,20.8,152
08-04-2025 16:02:39,268,77,20.8,153
08-04-2025 16:02:40,215,78,19,153
08-04-2025 16:02:41,203,79.5,18.8,154
08-04-2025 16:02:42,203,79.5,18.8,154
08-04-2025 16:02:43,187,80,18.1,154
08-04-2025 16:02:44,196,79.5,18.3,155
08-04-2025 16:02:45,196,79.5,18.3,155
08-04-2025 16:02:46,170,78.5,17.4,156
08-04-2025 16:02:47,251,79,20.4,156
08-04-2025 16:02:48,251,79,20.4,157
08-04-2025 16:02:49,204,79,18.8,158
08-04-2025 16:02:50,246,81,20.1,158
08-04-2025 16:02:51,200,82,18.6,158
08-04-2025 16:02:52,200,82,18.6,158
08-04-2025 16:02:53,140,80.5,16.1,158
08-04-2025 16:02:54,166,78,17.2,158
08-04-2025 16:02:55,206,76,18.8,158
08-04-2025 16:02:56,243,77,20.1,158
08-04-2025 16:02:57,243,77,20.1,158
08-04-2025 16:02:58,268,77.5,20.8,159
08-04-2025 16:02:59,206,80,18.8,159
08-04-2025 16:03:00,206,80,18.8,159
08-04-2025 16:03:01,197,79,18.6,158
08-04-2025 16:03:02,202,79.5,18.6,158
08-04-2025 16:03:03,202,79.5,18.6,158
08-04-2025 16:03:04,218,81,19.2,158
08-04-2025 16:03:05,215,81,19,159
08-04-2025 16:03:06,215,81,19,159
08-04-2025 16:03:07,198,79.5,18.6,159
08-04-2025 16:03:08,227,80,19.5,158
08-04-2025 16:03:09,209,79.5,18.8,158
08-04-2025 16:03:10,209,79.5,18.8,158
08-04-2025 16:03:11,220,79,19.2,159
08-04-2025 16:03:12,212,78.5,19,159
08-04-2025 16:03:13,217,78,19.2,159
08-04-2025 16:03:14,212,77.5,19,159
08-04-2025 16:03:15,245,77.5,20.1,158
08-04-2025 16:03:16,245,77.5,20.1,158
08-04-2025 16:03:17,229,78,19.7,157
08-04-2025 16:03:18,244,78.5,20.1,157
08-04-2025 16:03:19,210,78,19,158
08-04-2025 16:03:20,237,77.5,19.9,159
08-04-2025 16:03:21,237,77.5,19.9,159
08-04-2025 16:03:22,205,79,18.8,160
08-04-2025 16:03:23,214,78,19,160
08-04-2025 16:03:24,214,78,19,160
08-04-2025 16:03:25,214,76.5,19,161
08-04-2025 16:03:26,235,76,19.7,161
08-04-2025 16:03:27,215,77,19,161
08-04-2025 16:03:28,207,76.5,18.8,162
08-04-2025 16:03:29,191,76,18.3,163
08-04-2025 16:03:30,191,76,18.3,163
08-04-2025 16:03:31,352,78.5,23,164
08-04-2025 16:03:32,188,82,18.1,164
08-04-2025 16:03:33,176,82,17.7,165
08-04-2025 16:03:34,176,82,17.7,165
08-04-2025 16:03:35,195,79.5,18.3,164
08-04-2025 16:03:36,209,80,18.8,161
08-04-2025 16:03:37,209,80,18.8,160
08-04-2025 16:03:38,173,79,17.4,160
08-04-2025 16:03:39,242,77,19.9,160
08-04-2025 16:03:40,242,77,19.9,160
08-04-2025 16:03:41,216,77,19.2,161
08-04-2025 16:03:42,236,77.5,19.9,160
08-04-2025 16:03:43,236,77.5,19.9,159
08-04-2025 16:03:44,233,78.5,19.7,159
08-04-2025 16:03:45,223,80,19.5,159
08-04-2025 16:03:46,223,80,19.5,159
08-04-2025 16:03:47,192,79,18.3,159
08-04-2025 16:03:48,215,78.5,19,160
08-04-2025 16:03:49,231,78.5,19.7,160
08-04-2025 16:03:50,231,78.5,19.7,161
08-04-2025 16:03:51,228,78,19.5,162
08-04-2025 16:03:52,230,78,19.7,162
08-04-2025 16:03:53,251,78.5,20.4,163
08-04-2025 16:03:54,204,80,18.8,163
08-04-2025 16:03:55,197,79,18.6,163
08-04-2025 16:03:56,197,79,18.6,164
08-04-2025 16:03:57,286,80,21.3,165
08-04-2025 16:03:58,206,81.5,18.8,166
08-04-2025 16:03:59,201,81.5,18.6,166
08-04-2025 16:04:00,216,80,19.2,166
08-04-2025 16:04:01,205,79.5,18.8,166
08-04-2025 16:04:02,205,79.5,18.8,166
08-04-2025 16:04:03,247,79.5,20.1,166
08-04-2025 16:04:04,223,79,19.5,166
08-04-2025 16:04:05,259,79.5,20.6,166
08-04-2025 16:04:06,231,79.5,19.7,167
08-04-2025 16:04:07,231,79.5,19.7,167
08-04-2025 16:04:08,248,78.5,20.1,166
08-04-2025 16:04:09,203,78,18.8,166
08-04-2025 16:04:10,203,78,18.8,166
08-04-2025 16:04:11,315,79,22.1,166
08-04-2025 16:04:12,232,81,19.7,167
08-04-2025 16:04:13,232,81,19.7,167
08-04-2025 16:04:14,194,81,18.3,168
08-04-2025 16:04:15,226,80,19.5,168
08-04-2025 16:04:16,226,80,19.5,169
08-04-2025 16:04:17,254,80.5,20.4,169
08-04-2025 16:04:18,213,80,19,169
08-04-2025 16:04:19,234,79.5,19.7,170
