ParticipantID,ScenarioMode,Date & Time
13,Baseline,16-04-2025

Current Time,CurrentPower,CurrentCadence,CurrentSpeed,CurrentHeartRate
16-04-2025 17:20:03,63,44,11.2,98
16-04-2025 17:20:04,100,43,13.9,100
16-04-2025 17:20:05,136,45.5,15.9,103
16-04-2025 17:20:06,143,49.5,16.3,103
16-04-2025 17:20:07,143,49.5,16.3,105
16-04-2025 17:20:08,131,57.5,15.7,105
16-04-2025 17:20:09,109,60,14.5,102
16-04-2025 17:20:10,98,62,13.9,101
16-04-2025 17:20:11,93,63,13.4,99
16-04-2025 17:20:12,93,63,13.4,98
16-04-2025 17:20:13,93,63.5,13.4,98
16-04-2025 17:20:14,122,65,15.2,99
16-04-2025 17:20:15,69,65,11.9,99
16-04-2025 17:20:16,63,63.5,11.2,99
16-04-2025 17:20:17,63,63.5,11.2,99
16-04-2025 17:20:18,103,61,14.1,102
16-04-2025 17:20:19,175,63.5,17.7,104
16-04-2025 17:20:20,170,67.5,17.4,108
16-04-2025 17:20:21,143,71,16.3,110
16-04-2025 17:20:22,101,77.5,14.1,110
16-04-2025 17:20:23,78,79.5,12.5,111
16-04-2025 17:20:24,54,79.5,10.5,112
16-04-2025 17:20:25,54,79.5,10.5,113
16-04-2025 17:20:26,45,76.5,9.6,113
16-04-2025 17:20:27,70,74,11.9,113
16-04-2025 17:20:28,117,72,15,113
16-04-2025 17:20:29,104,71.5,14.1,113
16-04-2025 17:20:30,104,71.5,14.1,113
16-04-2025 17:20:31,111,69.5,14.5,114
16-04-2025 17:20:32,112,70.5,14.5,116
16-04-2025 17:20:33,112,70.5,14.5,116
16-04-2025 17:20:34,122,71,15.2,117
16-04-2025 17:20:35,123,73,15.2,119
16-04-2025 17:20:36,123,73,15.2,119
16-04-2025 17:20:37,118,76,15,119
16-04-2025 17:20:38,111,78,14.5,120
16-04-2025 17:20:39,111,78,14.5,120
16-04-2025 17:20:40,103,79.5,14.1,122
16-04-2025 17:20:41,98,81,13.9,124
16-04-2025 17:20:42,98,81,13.9,125
16-04-2025 17:20:43,125,82.5,15.4,124
16-04-2025 17:20:44,77,83.5,12.3,124
16-04-2025 17:20:45,83,83.5,12.8,124
16-04-2025 17:20:46,83,83.5,12.8,124
16-04-2025 17:20:47,81,82.5,12.8,124
16-04-2025 17:20:48,107,82,14.3,123
16-04-2025 17:20:49,93,81.5,13.4,124
16-04-2025 17:20:50,114,82,14.8,125
16-04-2025 17:20:51,114,82,14.8,126
16-04-2025 17:20:52,106,83,14.3,127
16-04-2025 17:20:53,104,83.5,14.1,127
16-04-2025 17:20:54,93,83.5,13.4,128
16-04-2025 17:20:55,93,83.5,13.4,128
16-04-2025 17:20:56,81,82,12.8,128
16-04-2025 17:20:57,78,77.5,12.5,127
16-04-2025 17:20:58,112,75,14.5,127
16-04-2025 17:20:59,136,74,15.9,127
16-04-2025 17:21:00,144,73.5,16.3,126
16-04-2025 17:21:01,155,75,16.8,126
16-04-2025 17:21:02,95,75,13.6,126
16-04-2025 17:21:03,95,75,13.6,125
16-04-2025 17:21:04,124,75,15.2,125
16-04-2025 17:21:05,110,74.5,14.5,125
16-04-2025 17:21:06,110,74.5,14.5,125
16-04-2025 17:21:07,104,75,14.1,125
16-04-2025 17:21:08,115,74.5,14.8,126
16-04-2025 17:21:09,115,74.5,14.8,126
16-04-2025 17:21:10,120,74.5,15,127
16-04-2025 17:21:11,122,75,15.2,128
16-04-2025 17:21:12,122,75,15.2,129
16-04-2025 17:21:13,113,76,14.8,128
16-04-2025 17:21:14,111,76,14.5,128
16-04-2025 17:21:15,111,76,14.5,129
16-04-2025 17:21:16,119,75.5,15,129
16-04-2025 17:21:17,117,76,15,129
16-04-2025 17:21:18,117,76,15,129
16-04-2025 17:21:19,121,76,15.2,129
16-04-2025 17:21:20,107,76,14.3,129
16-04-2025 17:21:21,121,75.5,15.2,129
16-04-2025 17:21:22,119,76,15,129
16-04-2025 17:21:23,119,76,15,130
16-04-2025 17:21:24,115,76,14.8,131
16-04-2025 17:21:25,110,75.5,14.5,131
16-04-2025 17:21:26,110,75.5,14.5,132
16-04-2025 17:21:27,134,76.5,15.9,133
16-04-2025 17:21:28,87,76.5,13.2,132
16-04-2025 17:21:29,87,76.5,13.2,132
16-04-2025 17:21:30,112,75.5,14.5,132
16-04-2025 17:21:31,122,75.5,15.2,131
16-04-2025 17:21:32,113,74.5,14.8,131
16-04-2025 17:21:33,105,74,14.3,131
16-04-2025 17:21:34,105,74,14.3,132
16-04-2025 17:21:35,123,74,15.2,132
16-04-2025 17:21:36,122,74,15.2,132
16-04-2025 17:21:37,122,74,15.2,132
16-04-2025 17:21:38,112,73.5,14.5,133
16-04-2025 17:21:39,120,73.5,15,133
16-04-2025 17:21:40,128,74,15.4,134
16-04-2025 17:21:41,134,75,15.9,135
16-04-2025 17:21:42,134,75,15.9,135
16-04-2025 17:21:43,114,76.5,14.8,135
16-04-2025 17:21:44,114,77,14.8,136
16-04-2025 17:21:45,107,77,14.3,135
16-04-2025 17:21:46,107,77,14.3,135
16-04-2025 17:21:47,99,76,13.9,135
16-04-2025 17:21:48,98,75.5,13.9,134
16-04-2025 17:21:49,113,74.5,14.8,132
16-04-2025 17:21:50,126,74.5,15.4,132
16-04-2025 17:21:51,126,74.5,15.4,133
16-04-2025 17:21:52,115,74,14.8,134
16-04-2025 17:21:53,119,74,15,135
16-04-2025 17:21:54,104,74,14.1,136
