ParticipantID,ScenarioMode,Date & Time
9,Competitive,15-04-2025

Current Time,CurrentPower,CurrentCadence,CurrentSpeed,CurrentHeartRate
15-04-2025 12:34:40,79,86,12.5,130
15-04-2025 12:34:41,22,86.5,6.3,130
15-04-2025 12:34:42,40,79.5,8.9,130
15-04-2025 12:34:43,40,79.5,8.9,129
15-04-2025 12:34:44,32,87,7.8,129
15-04-2025 12:34:45,13,82.5,4.3,129
15-04-2025 12:34:46,30,84.5,7.6,129
15-04-2025 12:34:47,30,84.5,7.6,129
15-04-2025 12:34:48,61,86,11.2,129
15-04-2025 12:34:49,49,87.5,10.1,129
15-04-2025 12:34:50,18,81.5,5.6,129
15-04-2025 12:34:51,18,81.5,5.6,128
15-04-2025 12:34:52,86,87.5,13,128
15-04-2025 12:34:53,102,89.5,14.1,128
15-04-2025 12:34:54,60,90,11,128
15-04-2025 12:34:55,60,90,11,128
15-04-2025 12:34:56,62,90,11.2,128
15-04-2025 12:34:57,8,86,2.9,129
15-04-2025 12:34:58,8,86,2.9,129
15-04-2025 12:34:59,47,88,9.8,129
15-04-2025 12:35:00,53,88,10.3,129
15-04-2025 12:35:01,53,88,10.3,130
15-04-2025 12:35:02,112,88.5,14.5,130
15-04-2025 12:35:03,20,89.5,5.8,130
15-04-2025 12:35:04,20,89.5,5.8,130
15-04-2025 12:35:05,101,91,14.1,130
15-04-2025 12:35:06,36,91,8.5,130
15-04-2025 12:35:07,36,91,8.5,131
15-04-2025 12:35:08,61,90.5,11.2,131
15-04-2025 12:35:09,75,89.5,12.3,131
15-04-2025 12:35:10,75,89.5,12.3,131
15-04-2025 12:35:11,42,88,9.2,132
15-04-2025 12:35:12,45,87,9.6,132
15-04-2025 12:35:13,81,87,12.8,132
15-04-2025 12:35:14,63,86.5,11.2,133
15-04-2025 12:35:15,40,84.5,8.9,133
15-04-2025 12:35:16,40,84.5,8.9,133
15-04-2025 12:35:17,92,84.5,13.4,134
15-04-2025 12:35:18,62,85,11.2,134
15-04-2025 12:35:19,62,85,11.2,134
15-04-2025 12:35:20,81,86.5,12.8,135
15-04-2025 12:35:21,66,86.5,11.6,134
15-04-2025 12:35:22,66,86.5,11.6,134
15-04-2025 12:35:23,57,86.5,10.7,135
15-04-2025 12:35:24,60,85.5,11,135
15-04-2025 12:35:25,60,85.5,11,135
15-04-2025 12:35:26,51,84.5,10.1,135
15-04-2025 12:35:27,87,83.5,13.2,135
15-04-2025 12:35:28,87,83.5,13.2,135
15-04-2025 12:35:29,59,83,11,136
15-04-2025 12:35:30,91,82,13.4,136
15-04-2025 12:35:31,91,82,13.4,136
15-04-2025 12:35:32,65,82,11.4,136
15-04-2025 12:35:33,79,82.5,12.5,136
15-04-2025 12:35:34,79,82.5,12.5,137
15-04-2025 12:35:35,96,82.5,13.6,137
15-04-2025 12:35:36,80,84,12.5,137
15-04-2025 12:35:37,80,84,12.5,136
15-04-2025 12:35:38,81,85,12.8,136
15-04-2025 12:35:39,47,85,9.8,136
15-04-2025 12:35:40,47,85,9.8,136
15-04-2025 12:35:41,101,85,14.1,136
15-04-2025 12:35:42,79,87,12.5,137
15-04-2025 12:35:43,79,87,12.5,137
15-04-2025 12:35:44,93,87.5,13.4,137
15-04-2025 12:35:45,54,87.5,10.5,136
15-04-2025 12:35:46,54,87.5,10.5,136
15-04-2025 12:35:47,38,85,8.7,136
15-04-2025 12:35:48,85,84.5,13,136
15-04-2025 12:35:49,80,84,12.5,136
15-04-2025 12:35:50,80,84,12.5,135
15-04-2025 12:35:51,54,83.5,10.5,135
15-04-2025 12:35:52,74,84,12.1,135
15-04-2025 12:35:53,68,84,11.6,135
15-04-2025 12:35:54,70,83,11.9,135
15-04-2025 12:35:55,83,83,12.8,135
15-04-2025 12:35:56,83,83,12.8,135
15-04-2025 12:35:57,78,83,12.5,136
15-04-2025 12:35:58,80,83.5,12.5,136
15-04-2025 12:35:59,76,84,12.3,137
15-04-2025 12:36:00,76,84,12.3,137
15-04-2025 12:36:01,43,84,9.4,138
15-04-2025 12:36:02,84,84.5,13,138
15-04-2025 12:36:03,48,84.5,9.8,139
15-04-2025 12:36:04,48,84.5,9.8,139
15-04-2025 12:36:05,53,83.5,10.3,139
15-04-2025 12:36:06,71,83,11.9,139
15-04-2025 12:36:07,68,81,11.6,140
15-04-2025 12:36:08,68,81,11.6,139
15-04-2025 12:36:09,122,80.5,15.2,139
15-04-2025 12:36:10,103,81,14.1,139
15-04-2025 12:36:11,83,81,12.8,139
15-04-2025 12:36:12,75,79.5,12.3,139
15-04-2025 12:36:13,75,79.5,12.3,139
15-04-2025 12:36:14,92,79,13.4,139
15-04-2025 12:36:15,93,79.5,13.4,139
15-04-2025 12:36:16,94,79.5,13.6,140
15-04-2025 12:36:17,82,79.5,12.8,140
15-04-2025 12:36:18,90,80,13.2,140
15-04-2025 12:36:19,90,80,13.2,140
15-04-2025 12:36:20,100,80.5,13.9,141
15-04-2025 12:36:21,79,81,12.5,141
15-04-2025 12:36:22,79,81,12.5,141
15-04-2025 12:36:23,81,81.5,12.8,142
15-04-2025 12:36:24,78,81.5,12.5,142
15-04-2025 12:36:25,78,81.5,12.5,142
15-04-2025 12:36:26,95,81,13.6,142
15-04-2025 12:36:27,96,81,13.6,142
15-04-2025 12:36:28,74,81,12.1,143
15-04-2025 12:36:29,94,81,13.6,143
15-04-2025 12:36:30,98,81.5,13.9,143
15-04-2025 12:36:31,98,81.5,13.9,143
15-04-2025 12:36:32,94,82,13.6,143
15-04-2025 12:36:33,76,82.5,12.3,143
15-04-2025 12:36:34,76,82.5,12.3,143
