ParticipantID,ScenarioMode,Date & Time
9,Baseline,09-04-2025

Current Time,CurrentPower,CurrentCadence,CurrentSpeed,CurrentHeartRate
09-04-2025 15:34:13,32,87,7.8,135
09-04-2025 15:34:14,77,89.5,12.3,135
09-04-2025 15:34:15,44,92.5,9.4,135
09-04-2025 15:34:16,30,92.5,7.6,135
09-04-2025 15:34:17,71,94,11.9,134
09-04-2025 15:34:18,71,94,11.9,134
09-04-2025 15:34:19,35,95,8.3,134
09-04-2025 15:34:20,13,80,4.3,133
09-04-2025 15:34:21,45,94,9.6,133
09-04-2025 15:34:22,5,86,2,133
09-04-2025 15:34:23,6,87,2.2,134
09-04-2025 15:34:24,6,87,2.2,134
09-04-2025 15:34:25,80,89.5,12.5,134
09-04-2025 15:34:26,23,87.5,6.5,134
09-04-2025 15:34:27,23,87.5,6.5,134
09-04-2025 15:34:28,67,87.5,11.6,134
09-04-2025 15:34:29,64,86.5,11.4,133
09-04-2025 15:34:30,89,86.5,13.2,133
09-04-2025 15:34:31,89,86.5,13.2,132
09-04-2025 15:34:32,77,87,12.3,132
09-04-2025 15:34:33,39,86.5,8.9,133
09-04-2025 15:34:34,74,84.5,12.1,133
09-04-2025 15:34:35,73,83.5,12.1,133
09-04-2025 15:34:36,77,83,12.3,133
09-04-2025 15:34:37,93,83.5,13.4,133
09-04-2025 15:34:38,93,83.5,13.4,133
09-04-2025 15:34:39,64,83.5,11.4,133
09-04-2025 15:34:40,70,82.5,11.9,133
09-04-2025 15:34:41,70,82.5,11.9,134
09-04-2025 15:34:42,78,83,12.5,134
09-04-2025 15:34:43,78,83,12.5,134
09-04-2025 15:34:44,74,83.5,12.1,134
09-04-2025 15:34:45,77,84.5,12.3,134
09-04-2025 15:34:46,62,84.5,11.2,134
09-04-2025 15:34:47,62,84.5,11.2,134
09-04-2025 15:34:48,52,84,10.3,133
09-04-2025 15:34:49,56,82.5,10.7,133
09-04-2025 15:34:50,62,81.5,11.2,133
09-04-2025 15:34:51,81,81.5,12.8,133
09-04-2025 15:34:52,62,81,11.2,134
09-04-2025 15:34:53,64,80.5,11.4,134
09-04-2025 15:34:54,85,80.5,13,134
09-04-2025 15:34:55,85,80.5,13,134
09-04-2025 15:34:56,65,81,11.4,134
09-04-2025 15:34:57,88,81,13.2,134
09-04-2025 15:34:58,88,81,13.2,134
09-04-2025 15:34:59,85,81.5,13,133
09-04-2025 15:35:00,72,83.5,12.1,133
09-04-2025 15:35:01,71,83.5,11.9,134
09-04-2025 15:35:02,60,84.5,11,134
09-04-2025 15:35:03,60,84.5,11,135
09-04-2025 15:35:04,63,83.5,11.2,135
09-04-2025 15:35:05,71,83.5,11.9,135
09-04-2025 15:35:06,66,83.5,11.6,135
09-04-2025 15:35:07,76,83.5,12.3,135
09-04-2025 15:35:08,76,83.5,12.3,135
09-04-2025 15:35:09,75,84,12.3,135
09-04-2025 15:35:10,61,84,11.2,135
09-04-2025 15:35:11,66,81.5,11.6,135
09-04-2025 15:35:12,66,81.5,11.6,135
09-04-2025 15:35:13,81,82,12.8,135
09-04-2025 15:35:14,89,82.5,13.2,135
09-04-2025 15:35:15,89,82.5,13.2,136
09-04-2025 15:35:16,70,83,11.9,135
09-04-2025 15:35:17,78,83.5,12.5,135
09-04-2025 15:35:18,81,84.5,12.8,136
09-04-2025 15:35:19,81,84.5,12.8,135
09-04-2025 15:35:20,75,85,12.3,135
09-04-2025 15:35:21,69,85.5,11.9,136
09-04-2025 15:35:22,78,86,12.5,136
09-04-2025 15:35:23,40,85.5,8.9,137
09-04-2025 15:35:24,74,85,12.1,138
09-04-2025 15:35:25,74,85,12.1,139
09-04-2025 15:35:26,70,85.5,11.9,140
09-04-2025 15:35:27,74,85.5,12.1,140
09-04-2025 15:35:28,53,85,10.3,141
09-04-2025 15:35:29,34,81,8.3,142
09-04-2025 15:35:30,34,81,8.3,143
09-04-2025 15:35:31,88,76.5,13.2,142
09-04-2025 15:35:32,75,72.5,12.3,141
09-04-2025 15:35:33,75,72.5,12.3,141
09-04-2025 15:35:34,87,70.5,13.2,139
09-04-2025 15:35:35,116,69,14.8,139
09-04-2025 15:35:36,116,69,14.8,138
09-04-2025 15:35:37,106,70.5,14.3,138
09-04-2025 15:35:38,102,72.5,14.1,138
09-04-2025 15:35:39,102,72.5,14.1,138
09-04-2025 15:35:40,110,73.5,14.5,139
09-04-2025 15:35:41,99,75,13.9,139
09-04-2025 15:35:42,99,76,13.9,140
09-04-2025 15:35:43,89,78,13.2,140
09-04-2025 15:35:44,86,78.5,13,141
09-04-2025 15:35:45,86,78.5,13,141
09-04-2025 15:35:46,70,79,11.9,141
09-04-2025 15:35:47,82,79,12.8,140
09-04-2025 15:35:48,86,80.5,13,140
09-04-2025 15:35:49,78,80.5,12.5,140
09-04-2025 15:35:50,72,80.5,12.1,141
09-04-2025 15:35:51,72,80.5,12.1,141
09-04-2025 15:35:52,66,79.5,11.6,142
09-04-2025 15:35:53,79,78.5,12.5,142
09-04-2025 15:35:54,79,78.5,12.5,142
09-04-2025 15:35:55,73,77.5,12.1,141
09-04-2025 15:35:56,85,76.5,13,141
09-04-2025 15:35:57,85,76.5,13,141
09-04-2025 15:35:58,90,76,13.2,141
09-04-2025 15:35:59,76,75.5,12.3,140
09-04-2025 15:36:01,76,75.5,12.3,140
09-04-2025 15:36:02,88,74.5,13.2,139
09-04-2025 15:36:03,96,74.5,13.6,138
09-04-2025 15:36:04,96,74.5,13.6,138
09-04-2025 15:36:05,76,74.5,12.3,137
09-04-2025 15:36:06,78,74,12.5,138
09-04-2025 15:36:07,78,74,12.5,138
09-04-2025 15:36:08,94,74,13.6,138
09-04-2025 15:36:09,100,75,13.9,138
09-04-2025 15:36:10,100,75,13.9,138
09-04-2025 15:36:11,81,75.5,12.8,138
09-04-2025 15:36:12,78,76,12.5,139
09-04-2025 15:36:13,78,76,12.5,139
09-04-2025 15:36:14,83,76,12.8,140
09-04-2025 15:36:15,100,76,13.9,140
09-04-2025 15:36:16,84,76,13,141
09-04-2025 15:36:17,84,76,13,141
09-04-2025 15:36:18,95,77,13.6,141
09-04-2025 15:36:19,71,77,11.9,141
09-04-2025 15:36:20,80,76.5,12.5,141
09-04-2025 15:36:21,66,76.5,11.6,142
09-04-2025 15:36:22,66,76.5,11.6,142
09-04-2025 15:36:23,89,76,13.2,142
09-04-2025 15:36:24,96,77,13.6,143
09-04-2025 15:36:25,85,77,13,143
09-04-2025 15:36:26,85,77,13,143
09-04-2025 15:36:27,74,76,12.1,143
09-04-2025 15:36:28,91,76,13.4,143
09-04-2025 15:36:29,82,76.5,12.8,144
09-04-2025 15:36:30,98,75.5,13.9,144
09-04-2025 15:36:31,98,75.5,13.9,144
09-04-2025 15:36:32,82,75,12.8,145
09-04-2025 15:36:33,99,73.5,13.9,145
09-04-2025 15:36:34,100,73,13.9,145
09-04-2025 15:36:35,100,73,13.9,145
09-04-2025 15:36:36,105,72.5,14.3,144
09-04-2025 15:36:37,104,73,14.1,144
09-04-2025 15:36:38,105,73,14.3,144
09-04-2025 15:36:39,104,73,14.1,144
09-04-2025 15:36:40,104,73,14.1,145
09-04-2025 15:36:41,107,73.5,14.3,145
09-04-2025 15:36:42,103,74,14.1,146
09-04-2025 15:36:43,99,74.5,13.9,147
09-04-2025 15:36:44,101,75,14.1,148
09-04-2025 15:36:45,101,75,14.1,148
09-04-2025 15:36:46,93,75,13.4,148
09-04-2025 15:36:47,113,75.5,14.8,148
09-04-2025 15:36:48,91,75.5,13.4,148
09-04-2025 15:36:49,101,75,14.1,148
09-04-2025 15:36:50,101,75,14.1,148
09-04-2025 15:36:51,87,74,13.2,148
09-04-2025 15:36:52,106,74,14.3,148
09-04-2025 15:36:53,106,74,14.3,148
09-04-2025 15:36:54,90,74,13.2,148
09-04-2025 15:36:55,96,73.5,13.6,149
09-04-2025 15:36:56,96,73.5,13.6,149
09-04-2025 15:36:57,92,72.5,13.4,149
09-04-2025 15:36:58,98,72,13.9,149
09-04-2025 15:36:59,98,72,13.9,148
09-04-2025 15:37:00,95,72,13.6,149
09-04-2025 15:37:01,86,71.5,13,149
09-04-2025 15:37:02,86,71.5,13,149
09-04-2025 15:37:03,107,71.5,14.3,149
09-04-2025 15:37:04,110,71.5,14.5,149
09-04-2025 15:37:05,110,71.5,14.5,149
09-04-2025 15:37:06,107,72.5,14.3,149
09-04-2025 15:37:07,109,73,14.5,149
09-04-2025 15:37:08,90,73,13.2,149
09-04-2025 15:37:09,97,73,13.6,150
09-04-2025 15:37:10,94,72.5,13.6,150
09-04-2025 15:37:11,108,72.5,14.3,151
09-04-2025 15:37:12,108,72.5,14.3,151
09-04-2025 15:37:13,97,73,13.6,151
09-04-2025 15:37:14,87,72.5,13.2,151
09-04-2025 15:37:15,107,72,14.3,151
09-04-2025 15:37:16,106,72,14.3,151
09-04-2025 15:37:17,106,72,14.3,150
09-04-2025 15:37:18,102,71.5,14.1,150
09-04-2025 15:37:19,82,70.5,12.8,150
09-04-2025 15:37:20,82,70.5,12.8,150
09-04-2025 15:37:21,78,68,12.5,151
09-04-2025 15:37:22,101,66.5,14.1,151
09-04-2025 15:37:23,101,66.5,14.1,152
09-04-2025 15:37:24,109,67.5,14.5,152
09-04-2025 15:37:25,102,66.5,14.1,152
09-04-2025 15:37:26,102,66.5,14.1,152
09-04-2025 15:37:27,117,66.5,15,151
09-04-2025 15:37:28,124,68.5,15.2,151
09-04-2025 15:37:29,124,68.5,15.2,151
09-04-2025 15:37:30,82,69,12.8,150
09-04-2025 15:37:31,87,68,13.2,150
09-04-2025 15:37:32,106,66.5,14.3,150
09-04-2025 15:37:33,99,65,13.9,151
09-04-2025 15:37:34,99,65,13.9,151
09-04-2025 15:37:35,104,64,14.1,151
09-04-2025 15:37:36,139,64,16.1,151
09-04-2025 15:37:37,85,61,13,151
09-04-2025 15:37:38,85,61,13,150
09-04-2025 15:37:39,112,59,14.5,150
09-04-2025 15:37:40,106,57,14.3,149
09-04-2025 15:37:41,97,55,13.6,148
09-04-2025 15:37:42,97,55,13.6,148
09-04-2025 15:37:43,128,53,15.4,149
09-04-2025 15:37:44,135,54.5,15.9,149
09-04-2025 15:37:45,109,54.5,14.5,150
09-04-2025 15:37:46,135,54,15.9,151
09-04-2025 15:37:47,135,54,15.9,151
09-04-2025 15:37:48,124,55.5,15.2,151
09-04-2025 15:37:49,110,56.5,14.5,151
09-04-2025 15:37:50,110,56.5,14.5,152
09-04-2025 15:37:51,120,57,15,152
09-04-2025 15:37:52,119,58,15,153
09-04-2025 15:37:53,119,58,15,152
09-04-2025 15:37:54,125,58.5,15.4,152
09-04-2025 15:37:55,118,60,15,152
09-04-2025 15:37:56,118,60,15,152
09-04-2025 15:37:57,116,60.5,14.8,152
09-04-2025 15:37:58,109,60.5,14.5,153
09-04-2025 15:37:59,109,60.5,14.5,154
09-04-2025 15:38:00,113,60,14.8,154
09-04-2025 15:38:01,118,60.5,15,155
09-04-2025 15:38:02,135,61.5,15.9,155
09-04-2025 15:38:03,127,63,15.4,156
09-04-2025 15:38:04,127,63,15.4,156
09-04-2025 15:38:05,115,63.5,14.8,156
09-04-2025 15:38:06,121,64,15.2,156
09-04-2025 15:38:07,120,65,15,156
09-04-2025 15:38:08,120,65,15,156
09-04-2025 15:38:09,113,65,14.8,155
09-04-2025 15:38:10,107,65,14.3,155
09-04-2025 15:38:11,107,65,14.3,155
09-04-2025 15:38:12,109,63.5,14.5,155
09-04-2025 15:38:13,104,62.5,14.1,155
09-04-2025 15:38:14,122,62,15.2,155
09-04-2025 15:38:15,122,62,15.2,155
09-04-2025 15:38:16,94,61.5,13.6,155
09-04-2025 15:38:17,120,61.5,15,156
09-04-2025 15:38:18,113,61.5,14.8,156
09-04-2025 15:38:19,126,62,15.4,156
09-04-2025 15:38:20,126,62,15.4,156
09-04-2025 15:38:21,124,62.5,15.2,156
09-04-2025 15:38:22,99,62,13.9,155
09-04-2025 15:38:23,138,62.5,15.9,155
09-04-2025 15:38:24,138,62.5,15.9,155
09-04-2025 15:38:25,116,63,14.8,155
09-04-2025 15:38:26,108,63,14.3,155
09-04-2025 15:38:27,108,62.5,14.3,156
09-04-2025 15:38:28,125,63,15.4,156
09-04-2025 15:38:29,116,63.5,14.8,156
09-04-2025 15:38:30,116,63.5,14.8,157
09-04-2025 15:38:31,121,63,15.2,157
09-04-2025 15:38:32,121,64,15.2,157
09-04-2025 15:38:33,121,64,15.2,157
09-04-2025 15:38:34,108,63.5,14.3,157
09-04-2025 15:38:36,145,61.5,16.3,158
09-04-2025 15:38:37,145,61.5,16.3,159
09-04-2025 15:38:38,117,61.5,15,160
09-04-2025 15:38:39,135,61.5,15.9,160
09-04-2025 15:38:40,140,61.5,16.1,161
09-04-2025 15:38:41,148,62.5,16.6,161
09-04-2025 15:38:42,125,63,15.4,162
09-04-2025 15:38:43,125,63,15.4,163
09-04-2025 15:38:44,124,62.5,15.2,163
09-04-2025 15:38:45,129,62.5,15.4,164
09-04-2025 15:38:46,118,62,15,164
09-04-2025 15:38:47,125,61,15.4,164
09-04-2025 15:38:48,125,61,15.4,164
09-04-2025 15:38:49,132,61.5,15.7,165
09-04-2025 15:38:50,100,60,13.9,164
09-04-2025 15:38:51,121,59,15.2,164
09-04-2025 15:38:52,121,59,15.2,164
09-04-2025 15:38:53,116,58.5,14.8,164
09-04-2025 15:38:54,151,58.5,16.6,164
09-04-2025 15:38:55,151,58.5,16.6,164
09-04-2025 15:38:56,135,58.5,15.9,164
09-04-2025 15:38:57,126,58.5,15.4,164
09-04-2025 15:38:58,138,58.5,15.9,164
09-04-2025 15:38:59,139,58,16.1,164
09-04-2025 15:39:00,131,58,15.7,164
09-04-2025 15:39:01,131,58,15.7,164
09-04-2025 15:39:02,132,58,15.7,164
09-04-2025 15:39:03,130,58,15.7,165
09-04-2025 15:39:04,124,58,15.2,165
09-04-2025 15:39:05,149,58,16.6,165
09-04-2025 15:39:06,107,58,14.3,164
09-04-2025 15:39:07,116,56.5,14.8,164
09-04-2025 15:39:08,116,56.5,14.8,164
09-04-2025 15:39:09,137,57,15.9,164
09-04-2025 15:39:10,137,57,15.9,164
09-04-2025 15:39:11,143,58,16.3,164
09-04-2025 15:39:12,117,58,15,164
09-04-2025 15:39:13,117,58,15,165
09-04-2025 15:39:14,118,57,15,165
09-04-2025 15:39:15,111,55.5,14.5,166
09-04-2025 15:39:16,123,56,15.2,166
09-04-2025 15:39:17,123,56,15.2,166
09-04-2025 15:39:18,128,55,15.4,167
09-04-2025 15:39:19,127,54.5,15.4,167
09-04-2025 15:39:20,110,54,14.5,167
09-04-2025 15:39:21,110,54,14.5,168
09-04-2025 15:39:22,147,53.5,16.3,168
09-04-2025 15:39:23,116,54,14.8,168
09-04-2025 15:39:24,113,52,14.8,168
09-04-2025 15:39:25,113,52,14.8,168
09-04-2025 15:39:26,119,51,15,168
09-04-2025 15:39:27,119,51,15,168
09-04-2025 15:39:28,139,51,16.1,168
09-04-2025 15:39:29,111,50,14.5,168
09-04-2025 15:39:30,108,49,14.3,169
09-04-2025 15:39:31,117,46,15,169
09-04-2025 15:39:32,117,46,15,169
09-04-2025 15:39:33,118,43,15,169
09-04-2025 15:39:34,112,40,14.5,169
09-04-2025 15:39:35,112,40,14.5,169
09-04-2025 15:39:36,113,36,14.8,169
09-04-2025 15:39:37,116,40.5,14.8,169
09-04-2025 15:39:38,116,40.5,14.8,169
09-04-2025 15:39:39,90,51,13.2,169
09-04-2025 15:39:40,69,61,11.9,169
09-04-2025 15:39:41,69,61,11.9,169
09-04-2025 15:39:42,70,63,11.9,169
09-04-2025 15:39:43,62,63,11.2,169
09-04-2025 15:39:44,82,54,12.8,168
09-04-2025 15:39:45,82,54,12.8,167
09-04-2025 15:39:46,101,48,14.1,167
09-04-2025 15:39:47,101,48,14.1,167

Averages:
Average Power,96.33
Average Cadence,70.04
Average Speed,13.48
Average Heart Rate,148.47
Average Power to Weight Ratio (P/W),N/A

Performance Metrics:
Functional Threshold Power (FTP),87.8
Heart Rate Recovery (HRR),20.53
Efficiency Factor (EF),0.65
Peak Power Output (PPO),151
Maximum Heart Rate,169
Total Work Done,1.068164E+07
