ParticipantID,ScenarioMode,Date & Time
8,Baseline,09-04-2025

Current Time,CurrentPower,CurrentCadence,CurrentSpeed,CurrentHeartRate
09-04-2025 14:53:56,158,68.5,17,93
09-04-2025 14:53:57,203,67.5,18.8,93
09-04-2025 14:53:58,183,68,17.9,91
09-04-2025 14:53:59,183,68,17.9,91
09-04-2025 14:54:00,150,72,16.6,93
09-04-2025 14:54:01,136,74.5,15.9,94
09-04-2025 14:54:02,136,74.5,15.9,98
09-04-2025 14:54:03,109,74,14.5,102
09-04-2025 14:54:04,125,73,15.4,105
09-04-2025 14:54:05,125,73,15.4,107
09-04-2025 14:54:06,148,71.5,16.6,108
09-04-2025 14:54:07,148,71.5,16.6,110
09-04-2025 14:54:08,148,71.5,16.6,113
09-04-2025 14:54:09,153,71,16.8,115
09-04-2025 14:54:10,131,71,15.7,117
09-04-2025 14:54:11,131,71,15.7,119
09-04-2025 14:54:12,125,69.5,15.4,120
09-04-2025 14:54:13,166,70,17.2,121
09-04-2025 14:54:14,166,70,17.2,118
09-04-2025 14:54:15,183,72.5,17.9,118
09-04-2025 14:54:16,135,75,15.9,119
09-04-2025 14:54:17,135,75,15.9,121
09-04-2025 14:54:18,133,75.5,15.7,121
09-04-2025 14:54:19,109,74.5,14.5,121
09-04-2025 14:54:20,109,74.5,14.5,121
09-04-2025 14:54:21,134,71.5,15.9,121
09-04-2025 14:54:22,163,70,17,120
09-04-2025 14:54:23,163,70,17,120
09-04-2025 14:54:24,151,70,16.6,121
09-04-2025 14:54:25,140,70,16.1,120
09-04-2025 14:54:26,140,70,16.1,120
09-04-2025 14:54:27,133,68.5,15.7,120
09-04-2025 14:54:28,167,68.5,17.2,120
09-04-2025 14:54:29,156,69.5,16.8,117
09-04-2025 14:54:30,175,71,17.7,117
09-04-2025 14:54:31,175,71,17.7,115
09-04-2025 14:54:32,138,71,15.9,115
09-04-2025 14:54:33,150,70.5,16.6,115
09-04-2025 14:54:34,159,71,17,114
09-04-2025 14:54:35,159,71,17,113
09-04-2025 14:54:36,133,70,15.7,114
