ParticipantID,ScenarioMode,Date & Time
2,Cooperative,08-04-2025

Current Time,CurrentPower,CurrentCadence,CurrentSpeed,CurrentHeartRate
08-04-2025 15:28:39,9,73.5,3.4,82
08-04-2025 15:28:40,24,73,6.7,84
08-04-2025 15:28:41,73,68.5,12.1,85
08-04-2025 15:28:42,73,68.5,12.1,85
08-04-2025 15:28:43,136,66.5,15.9,86
08-04-2025 15:28:44,97,65,13.6,87
08-04-2025 15:28:45,97,65,13.6,88
08-04-2025 15:28:46,104,61,14.1,90
08-04-2025 15:28:47,147,60.5,16.3,91
08-04-2025 15:28:48,147,60.5,16.3,91
08-04-2025 15:28:49,166,65.5,17.2,91
08-04-2025 15:28:50,133,71,15.7,91
08-04-2025 15:28:51,103,72,14.1,91
08-04-2025 15:28:52,103,72,14.1,91
08-04-2025 15:28:53,127,75,15.4,92
08-04-2025 15:28:54,132,77,15.7,93
08-04-2025 15:28:55,95,78.5,13.6,95
08-04-2025 15:28:56,95,78.5,13.6,97
08-04-2025 15:28:57,86,78,13,98
08-04-2025 15:28:58,80,77,12.5,100
08-04-2025 15:28:59,128,75.5,15.4,102
08-04-2025 15:29:00,128,75.5,15.4,104
08-04-2025 15:29:01,115,76,14.8,108
08-04-2025 15:29:02,79,73.5,12.5,109
08-04-2025 15:29:03,129,70,15.4,110
08-04-2025 15:29:04,129,70,15.4,110
08-04-2025 15:29:05,196,71.5,18.3,110
08-04-2025 15:29:06,200,80,18.6,110
08-04-2025 15:29:07,163,84.5,17,110
08-04-2025 15:29:08,163,84.5,17,110
08-04-2025 15:29:09,74,88.5,12.1,109
08-04-2025 15:29:10,24,87,6.7,110
08-04-2025 15:29:11,14,85.5,4.7,110
08-04-2025 15:29:12,119,89,15,110
08-04-2025 15:29:13,119,89,15,111
08-04-2025 15:29:14,67,87,11.6,111
08-04-2025 15:29:15,106,88,14.3,111
08-04-2025 15:29:16,78,86.5,12.5,111
08-04-2025 15:29:17,133,85,15.7,112
08-04-2025 15:29:18,150,85.5,16.6,112
08-04-2025 15:29:19,125,86,15.4,112
08-04-2025 15:29:20,125,86,15.4,112
08-04-2025 15:29:21,96,86,13.6,113
08-04-2025 15:29:22,111,85.5,14.5,113
08-04-2025 15:29:23,115,85.5,14.8,114
08-04-2025 15:29:24,129,85.5,15.4,115
08-04-2025 15:29:25,135,86,15.9,116
08-04-2025 15:29:26,135,86,15.9,117
08-04-2025 15:29:27,101,86,14.1,118
08-04-2025 15:29:28,114,85.5,14.8,119
08-04-2025 15:29:29,106,85,14.3,120
08-04-2025 15:29:30,106,85,14.3,121
08-04-2025 15:29:31,117,83,15,122
08-04-2025 15:29:32,138,82.5,15.9,123
08-04-2025 15:29:33,126,81.5,15.4,123
08-04-2025 15:29:34,118,80.5,15,124
08-04-2025 15:29:35,118,80.5,15,125
08-04-2025 15:29:36,154,80,16.8,125
08-04-2025 15:29:37,188,81.5,18.1,125
08-04-2025 15:29:38,180,83.5,17.9,126
08-04-2025 15:29:39,128,85.5,15.4,126
08-04-2025 15:29:40,128,85.5,15.4,127
08-04-2025 15:29:41,111,86.5,14.5,127
08-04-2025 15:29:42,82,85,12.8,127
08-04-2025 15:29:43,82,85,12.8,128
08-04-2025 15:29:44,128,83.5,15.4,128
08-04-2025 15:29:45,141,84,16.1,129
08-04-2025 15:29:46,141,84,16.1,129
08-04-2025 15:29:47,147,84,16.3,130
08-04-2025 15:29:48,145,84.5,16.3,130
08-04-2025 15:29:49,112,85,14.5,130
08-04-2025 15:29:50,120,85,15,130
08-04-2025 15:29:51,126,84.5,15.4,131
08-04-2025 15:29:52,136,83.5,15.9,131
08-04-2025 15:29:53,136,83.5,15.9,131
08-04-2025 15:29:54,126,84.5,15.4,132
08-04-2025 15:29:55,125,84.5,15.4,132
08-04-2025 15:29:56,118,84.5,15,132
08-04-2025 15:29:57,114,84,14.8,133
08-04-2025 15:29:58,114,84,14.8,133
08-04-2025 15:29:59,132,84,15.7,133
08-04-2025 15:30:00,124,83.5,15.2,133
08-04-2025 15:30:01,148,83.5,16.6,134
08-04-2025 15:30:02,132,84.5,15.7,133
08-04-2025 15:30:03,138,85,15.9,134
08-04-2025 15:30:04,138,85,15.9,134
08-04-2025 15:30:05,100,84.5,13.9,134
08-04-2025 15:30:06,133,83,15.7,134
08-04-2025 15:30:07,148,84,16.6,134
08-04-2025 15:30:08,148,84,16.6,135
08-04-2025 15:30:09,118,84.5,15,135
08-04-2025 15:30:10,109,84,14.5,135
08-04-2025 15:30:11,154,84,16.8,135
08-04-2025 15:30:12,138,84.5,15.9,136
08-04-2025 15:30:13,128,85,15.4,136
08-04-2025 15:30:14,128,85,15.4,136
08-04-2025 15:30:15,139,85,16.1,136
08-04-2025 15:30:16,121,85,15.2,137
08-04-2025 15:30:17,121,84.5,15.2,137
08-04-2025 15:30:18,124,83,15.2,137
08-04-2025 15:30:19,124,83,15.2,137
08-04-2025 15:30:20,140,83,16.1,138
08-04-2025 15:30:21,132,83,15.7,138
08-04-2025 15:30:22,132,83,15.7,138
08-04-2025 15:30:23,122,83,15.2,138
08-04-2025 15:30:24,142,83.5,16.1,138
08-04-2025 15:30:25,142,83.5,16.1,139
08-04-2025 15:30:26,142,84.5,16.1,139
08-04-2025 15:30:27,108,84.5,14.3,139
08-04-2025 15:30:28,111,83,14.5,139
08-04-2025 15:30:29,130,81.5,15.7,139
08-04-2025 15:30:30,156,81,16.8,139
08-04-2025 15:30:31,156,81,16.8,139
08-04-2025 15:30:32,168,81.5,17.2,139
08-04-2025 15:30:33,165,82.5,17.2,140
08-04-2025 15:30:34,143,84,16.3,140
08-04-2025 15:30:35,137,84.5,15.9,140
08-04-2025 15:30:36,140,84.5,16.1,140
08-04-2025 15:30:37,140,84.5,16.1,140
08-04-2025 15:30:38,129,84,15.4,140
08-04-2025 15:30:39,140,82.5,16.1,140
08-04-2025 15:30:40,140,82.5,16.1,140
08-04-2025 15:30:41,154,83,16.8,140
08-04-2025 15:30:42,141,83,16.1,140
08-04-2025 15:30:43,141,83,16.1,140
08-04-2025 15:30:44,120,83,15,140
08-04-2025 15:30:45,126,83,15.4,140
08-04-2025 15:30:46,126,83,15.4,140
08-04-2025 15:30:47,158,82.5,17,140
08-04-2025 15:30:48,151,82.5,16.6,140
08-04-2025 15:30:49,151,82.5,16.6,140
08-04-2025 15:30:50,140,83,16.1,140
08-04-2025 15:30:51,164,83.5,17.2,140
08-04-2025 15:30:52,164,83.5,17.2,141
08-04-2025 15:30:53,141,84,16.1,141
08-04-2025 15:30:54,135,84.5,15.9,141
08-04-2025 15:30:55,135,84.5,15.9,142
08-04-2025 15:30:56,138,84,15.9,142
08-04-2025 15:30:57,132,83,15.7,142
08-04-2025 15:30:58,132,83,15.7,142
08-04-2025 15:30:59,149,82,16.6,143
08-04-2025 15:31:00,128,82,15.4,143
08-04-2025 15:31:01,128,82,15.4,143
08-04-2025 15:31:02,163,81,17,143
08-04-2025 15:31:03,155,80.5,16.8,143
08-04-2025 15:31:04,150,80.5,16.6,143
08-04-2025 15:31:05,150,80.5,16.6,143
08-04-2025 15:31:06,130,82,15.7,143
08-04-2025 15:31:07,128,81.5,15.4,142
08-04-2025 15:31:08,119,79.5,15,142
08-04-2025 15:31:09,198,79.5,18.6,142
08-04-2025 15:31:10,198,79.5,18.6,142
08-04-2025 15:31:11,161,80.5,17,142
08-04-2025 15:31:12,140,82.5,16.1,143
08-04-2025 15:31:13,140,82.5,16.1,143
08-04-2025 15:31:14,107,80.5,14.3,143
08-04-2025 15:31:15,157,77.5,16.8,143
08-04-2025 15:31:16,157,77.5,16.8,143
08-04-2025 15:31:17,200,80,18.6,143
08-04-2025 15:31:18,145,83,16.3,143
08-04-2025 15:31:19,145,83,16.3,142
08-04-2025 15:31:20,129,84,15.4,142
08-04-2025 15:31:21,128,84,15.4,142
08-04-2025 15:31:22,128,84,15.4,143
08-04-2025 15:31:24,113,83,14.8,143
08-04-2025 15:31:25,129,80.5,15.4,144
08-04-2025 15:31:26,157,79.5,16.8,144
08-04-2025 15:31:27,136,79,15.9,144
08-04-2025 15:31:28,136,79,15.9,144
08-04-2025 15:31:29,169,79.5,17.4,145
08-04-2025 15:31:30,167,80.5,17.2,145
08-04-2025 15:31:31,168,81,17.2,145
08-04-2025 15:31:32,191,82,18.3,145
08-04-2025 15:31:33,191,82,18.3,145
08-04-2025 15:31:34,153,84,16.8,145
08-04-2025 15:31:35,148,84,16.6,146
08-04-2025 15:31:36,123,83.5,15.2,146
08-04-2025 15:31:37,123,83.5,15.2,146
08-04-2025 15:31:38,150,81,16.6,146
08-04-2025 15:31:39,152,80.5,16.6,146
08-04-2025 15:31:40,166,80,17.2,146
08-04-2025 15:31:41,171,80,17.4,147
08-04-2025 15:31:42,171,80,17.4,147
08-04-2025 15:31:43,187,81.5,18.1,147
08-04-2025 15:31:44,166,83,17.2,147
08-04-2025 15:31:45,160,84.5,17,147
08-04-2025 15:31:46,128,84,15.4,147
08-04-2025 15:31:47,134,83.5,15.9,148
08-04-2025 15:31:48,134,83.5,15.9,148
08-04-2025 15:31:49,181,82,17.9,149
08-04-2025 15:31:50,163,81.5,17,149
08-04-2025 15:31:51,163,81.5,17,149
08-04-2025 15:31:52,174,81.5,17.7,149
08-04-2025 15:31:53,162,82,17,149
08-04-2025 15:31:54,157,81.5,16.8,150
08-04-2025 15:31:55,153,81.5,16.8,150
08-04-2025 15:31:56,150,81,16.6,150
08-04-2025 15:31:57,150,81,16.6,150
08-04-2025 15:31:58,163,80.5,17,150
08-04-2025 15:31:59,159,81,17,150
08-04-2025 15:32:00,159,81,17,150
08-04-2025 15:32:01,181,81.5,17.9,151
08-04-2025 15:32:02,172,82,17.4,151
08-04-2025 15:32:03,140,82,16.1,150
08-04-2025 15:32:04,148,81.5,16.6,150
08-04-2025 15:32:05,148,81,16.6,150
08-04-2025 15:32:06,148,81,16.6,150
08-04-2025 15:32:07,147,81,16.3,151
08-04-2025 15:32:08,170,81,17.4,151
08-04-2025 15:32:09,152,81,16.6,150
08-04-2025 15:32:10,152,81,16.6,150
08-04-2025 15:32:11,166,80.5,17.2,151
08-04-2025 15:32:12,170,80.5,17.4,151
08-04-2025 15:32:13,170,80.5,17.4,151
08-04-2025 15:32:14,169,81,17.4,151
08-04-2025 15:32:15,159,82,17,151
08-04-2025 15:32:16,153,82,16.8,151
08-04-2025 15:32:17,141,81.5,16.1,151
08-04-2025 15:32:18,141,81.5,16.1,151
08-04-2025 15:32:19,171,81.5,17.4,151
08-04-2025 15:32:20,160,81.5,17,151
08-04-2025 15:32:21,159,81.5,17,151
08-04-2025 15:32:22,159,81.5,17,152
08-04-2025 15:32:23,161,81,17,151
08-04-2025 15:32:24,166,81.5,17.2,151
08-04-2025 15:32:25,166,81.5,17.2,151
08-04-2025 15:32:26,169,82,17.4,151
08-04-2025 15:32:27,169,82,17.4,152
08-04-2025 15:32:28,161,82.5,17,151
08-04-2025 15:32:29,144,82,16.3,151
08-04-2025 15:32:30,144,82,16.3,151
08-04-2025 15:32:31,165,80,17.2,151
08-04-2025 15:32:32,185,78.5,17.9,151
08-04-2025 15:32:33,185,78.5,17.9,151
08-04-2025 15:32:34,183,78,17.9,151
08-04-2025 15:32:35,201,78,18.6,151
08-04-2025 15:32:36,201,78,18.6,151
08-04-2025 15:32:37,171,78.5,17.4,151
08-04-2025 15:32:38,183,79.5,17.9,151
08-04-2025 15:32:39,183,79.5,17.9,151
08-04-2025 15:32:40,178,80,17.7,152
08-04-2025 15:32:41,165,80,17.2,152
08-04-2025 15:32:42,163,78.5,17,152
08-04-2025 15:32:43,163,78.5,17,152
08-04-2025 15:32:44,161,77,17,152
08-04-2025 15:32:45,175,76.5,17.7,152
08-04-2025 15:32:46,175,76.5,17.7,152
08-04-2025 15:32:47,193,77,18.3,152
08-04-2025 15:32:48,192,78.5,18.3,152
08-04-2025 15:32:49,166,78.5,17.2,152
08-04-2025 15:32:50,171,78.5,17.4,152
08-04-2025 15:32:51,171,78.5,17.4,153
08-04-2025 15:32:52,167,78.5,17.2,153
08-04-2025 15:32:53,168,78,17.2,153
08-04-2025 15:32:54,190,78,18.1,154
08-04-2025 15:32:55,190,78,18.1,154
08-04-2025 15:32:56,179,78.5,17.7,154
08-04-2025 15:32:57,168,78,17.2,154
08-04-2025 15:32:58,165,77.5,17.2,154
08-04-2025 15:32:59,138,77,15.9,155
08-04-2025 15:33:00,138,77,15.9,155
08-04-2025 15:33:01,140,76.5,16.1,155
08-04-2025 15:33:02,157,74,16.8,155
08-04-2025 15:33:03,157,74,16.8,155
08-04-2025 15:33:04,177,75,17.7,155
08-04-2025 15:33:05,178,74,17.7,155
08-04-2025 15:33:06,178,74,17.7,155
08-04-2025 15:33:07,191,76.5,18.3,155
08-04-2025 15:33:08,208,79.5,18.8,155
08-04-2025 15:33:09,208,79.5,18.8,155
08-04-2025 15:33:10,144,80.5,16.3,155
08-04-2025 15:33:11,132,80.5,15.7,155
08-04-2025 15:33:12,132,80.5,15.7,155
08-04-2025 15:33:13,168,80.5,17.2,155
08-04-2025 15:33:14,167,80,17.2,155
08-04-2025 15:33:15,145,79,16.3,155
08-04-2025 15:33:16,191,76.5,18.3,156
08-04-2025 15:33:17,195,77,18.3,156
08-04-2025 15:33:18,189,77,18.1,156
08-04-2025 15:33:19,172,76,17.4,156
08-04-2025 15:33:20,172,76,17.4,156
08-04-2025 15:33:21,157,75.5,16.8,156
08-04-2025 15:33:22,161,74,17,156
08-04-2025 15:33:23,177,73.5,17.7,156
08-04-2025 15:33:24,177,73.5,17.7,156
08-04-2025 15:33:25,203,74,18.8,156
08-04-2025 15:33:26,179,75,17.7,156
08-04-2025 15:33:27,179,75,17.7,156
08-04-2025 15:33:28,181,76,17.9,156
08-04-2025 15:33:29,170,76.5,17.4,156
08-04-2025 15:33:30,170,76.5,17.4,157
